No.,Longitude,Latitude,TIME,Serving PCI,Serving RSRP,Serving DL EARFCN,PCC SINR,PDCP Throughput DL,PDCP Throughput UL,0st PCI in Detected Cells,1st PCI in Detected Cells,2st PCI in Detected Cells,3st PCI in Detected Cells,4st PCI in Detected Cells,5st PCI in Detected Cells,0st RSRP in Detected Cells,1st RSRP in Detected Cells,2st RSRP in Detected Cells,3st RSRP in Detected Cells,4st RSRP in Detected Cells,5st RSRP in Detected Cells,0st EARFCN in Detected Cells,1st EARFCN in Detected Cells,2st EARFCN in Detected Cells,3st EARFCN in Detected Cells,4st EARFCN in Detected Cells,5st EARFCN in Detected Cells
83,116.417694,39.830135,2017-07-21 10:04:27.317,139,-89.437,37900,21.7,0.379,0.041,74,,,,,,-96.812,,,,,,37900,,,,,
84,116.417694,39.830135,2017-07-21 10:04:27.474,139,-89.437,37900,21.7,0.379,0.041,74,,,,,,-95.687,,,,,,37900,,,,,
85,116.417694,39.830135,2017-07-21 10:04:27.889,139,-87.562,37900,23.6,0.379,0.041,74,,,,,,-97.937,,,,,,37900,,,,,
86,116.417709,39.830132,2017-07-21 10:04:28.273,139,-89.875,37900,14.6,0.379,0.041,74,,,,,,-99.375,,,,,,37900,,,,,
87,116.417709,39.830132,2017-07-21 10:04:28.274,139,-91.125,37900,15.7,0.379,0.041,,,,,,,,,,,,,,,,,,
88,116.417709,39.830132,2017-07-21 10:04:28.629,139,-91.125,37900,15.7,0.379,0.041,74,,,,,,-97.687,,,,,,37900,,,,,
89,116.417709,39.830132,2017-07-21 10:04:29.031,139,-91.375,37900,11.5,0.379,0.041,74,,,,,,-97.75,,,,,,37900,,,,,
90,116.417694,39.830132,2017-07-21 10:04:29.454,139,-92.875,37900,12.6,0.379,0.041,74,,,,,,-92.375,,,,,,37900,,,,,
91,116.417694,39.830132,2017-07-21 10:04:29.867,139,-93.062,37900,13.899,0.004,0.002,74,,,,,,-93,,,,,,37900,,,,,
92,116.417679,39.830135,2017-07-21 10:04:30.278,139,-93.437,37900,18.6,0.004,0.002,74,,,,,,-96.25,,,,,,37900,,,,,
93,116.417679,39.830135,2017-07-21 10:04:30.689,139,-91.625,37900,18.3,0.004,0,74,,,,,,-93.312,,,,,,37900,,,,,
94,116.417679,39.830135,2017-07-21 10:04:31.177,139,-91.937,37900,12.899,0.004,0,74,,,,,,-95.625,,,,,,37900,,,,,
95,116.417679,39.830135,2017-07-21 10:04:31.528,139,-90.937,37900,14.399,0.22,0,74,,,,,,-94.875,,,,,,37900,,,,,
96,116.417679,39.830135,2017-07-21 10:04:31.635,139,-92.5,37900,10.7,0.22,0.074,,,,,,,,,,,,,,,,,,
97,116.417679,39.830135,2017-07-21 10:04:31.930,139,-92.5,37900,10.7,0.22,0.074,74,,,,,,-96.062,,,,,,37900,,,,,
98,116.417694,39.830124,2017-07-21 10:04:32.363,139,-92,37900,8.8,0.22,0.074,74,,,,,,-96.375,,,,,,37900,,,,,
99,116.417694,39.830124,2017-07-21 10:04:32.676,139,-94.937,37900,9.9,0.22,0.074,74,,,,,,-99.812,,,,,,37900,,,,,
100,116.417694,39.830124,2017-07-21 10:04:32.847,139,-94.937,37900,9.9,0.22,0.074,74,,,,,,-100.875,,,,,,37900,,,,,
